The ""export"" folder is not currently writeable!,"Non si dispone delle autorizzazioni necessarie per accedere alla directory ""Export""."
"Please check that the ""export"" folder in your shop's Main Directory exists and is writeable!","Si prega di verificare che all'interno della directory principale del vostro Shop esista la sottodirectory ""export""  e che questa abbia i permessi di scrittura."
Did you know?,"Lo sapevate?"
idealo Partner Login,"idealo PartnerLogin"
The export was unsuccessful!,"L'export non può essere eseguito."
Please check settings under,"I seguenti settaggi devono essere modificati oppure aggiunti sotto il percorso:"
and fill in/amend as necessary,""
System,"Sistema"
Configuration,"configurazione"
idealo csv settings,"Impostazioni csv idealo"
Please enter a feed name!,"Si prega di inserire un nome per il file."
Please define a column dividing value!,"Si prega di definire un carattere come separatore di campo."
"The column dividing value can only consist of one character!","Il separatore di campo deve essere formato da un solo carattere."
"Please activate shipping costs for at least one country!","Si prega di definire i costi di spedizione per almeno un Paese."
"At least one payment method must be activated for each activated shipping country!","Definire almeno una modalità di pagamento per ciascuno dei Paesi in cui è stata abilitata la spedizione,"
Please enter shipping costs for DE!,"Si prega di definire i costi di spedizione in DE."			
Please enter shipping costs for AT!,"Si prega di definire i costi di spedizione in AT."
shippingITMissing,"Si prega di definire i costi di spedizione in IT."
Generating large CSV,"Verrà creato un file CSV di grandi dimensioni."
Waiting for,"ancora"
article(s),"articoli"
Welcome to your idealo CSV export module.,"Benvenuti sul modulo di esportazione CSV di idealo"
Please go to,"È possibile cambiare le impostazioni del modulo sotto il percorso"
to set up your module settings,""
"Clicking on ""Export articles"" will generate an optimal idealo CSV feed.","Cliccare sul tasto “Esporta articoli” per creare un file CSV ottimizzato."
idealo shall not be held liable for any shortfalls,"idealo non si assume alcuna responsabilità riguardo la correttezza delle operazioni, il funzionamento del modulo, la sicurezza dei dati trasmessi e qualsiasi tipologia di guasto. idealo può sospendere in qualsiasi momento il servizio dei moduli. Utilizzando i moduli di idealo, il partner commerciale accetta tutte le suddette condizioni d'uso."
in the smooth operation and functionality of its export modules,""
nor for the safety of data transferred or for any damages incurred.,""
idealo reserves the right to suspend its export module service at any time.,""
In using our export modules,""
the co-operation partner agrees to our liability disclaimer.,"" 
"You can download your feed at the following link","Si prega di scaricare il file dal seguente link:"
"Please send this link to csv@idealo.co.uk","Si prega di inviare il seguente link all'indirizzo csv@idealo.it"
idealo,"idealo"
to download page,"Andare alla pagina di download"
idealo - csv export module v.,"idealo – Modulo di esportazione csv V"
for Magento 1.4.x - 1.7.0 from,"per Magento 1.4.x - 1.7.0 del"
"The new version","Su idealo è disponibile una nuova versione del modulo."
"of the module is available on idealo.",""
"The installed module has been modified for your shop system. Please contact us on <a href=""mailto:csv@idealo.co.uk"">csv@idealo.co.uk</a> to receive an update.","Il modulo attualmente installato sulla propria piattaforma di shop è stato modificato. Per ottenere la versione aggiornata, si prega di contattare ""<a href=mailto:csv@idealo.it">csv@idealo.it.<it>"""
store,"Store"
"Please select which shop your articles are to be exported from.","Si prega di selezionare lo shop dal quale esportare gli articoli."
Feed,"File"
"Please enter a feed name, if the export feed should be saved to server. (export/ directory)","Nel caso in cui il file di export venga salvato sul server (directory export/), si prega di assegnare un nome al file."
Column dividing value,"Separatore di campo"
"Examples: $ (dollar sign) | (pipe) Please do NOT use the semicolon ;","Esempio: , (Virgola) | (Barra verticale). Si prega di NON UTILIZZARE il carattere punto e virgola (;)"
Text dividing value,"Quoting"
"Examples: """ (speech marks) ' (single inverted comma) # (hash symbol)","Esempio: : (Virgolette) ' (Apostrofo) # (Cancelletto)"""
Shipping to Germany,"Spedizione in Germania"
"Would you like to export shipping costs for DE?","Desiderate esportare i costi di spedizione in Germania?"
Shipping costs for Germany,"Costi di spedizione in Germania"
"Please enter the shipping costs for Germany. e.g. 4.10","Si prega di inserire i costi di spedizione in Germania. Es. 4.10"
Calculation type,"Modalità di calcolo"
"How should the shipping costs be calculated?","Come saranno calcolati i costi di spedizione?"
Shipping cost boundary,"Limite costi di spedizione"
"Please enter the amount above which you ship free of charge. e.g. 50","Si prega di inserire l'importo a partire dal quale viene offerta la spedizione gratuita degli articoli. Es. 50"
"Free-shipping manufacturer(s)","Produttori con spedizione gratuita"
"Please enter the manufacturers whose articles you ship free of charge, separated by a semicolon. e.g. ""LG;Samsung""","Si prega di inserire i nomi dei produttori (o marche) per i quali è prevista la spedizione gratuita. Es. ""LG;Samsung"""
Free-shipping categories,"Categorie con spedizione gratuita"
"Please enter the categories whose articles you ship free of charge. All articles in this category and its sub-categories will be sent to the CSV feed as ""free-shipping articles"".","Si prega di definire le categorie di articoli per le quali è prevista la spedizione gratuita. Tutti gli articoli appartenenti alle categorie e sottocategorie indicate verranno esportati nel CSV come ""articoli con spedizione gratuita""."
Shipping to Austria,"Spedizioni in Austria"
"Would you like to export shipping costs for AT?","Desiderate esportare i costi di spedizione in Austria?"
"Shipping costs for AT,"Costi di spedizione in Austria"
"Please enter the shipping costs for Austria. e.g. 4.10","Si prega di inserire i costi di spedizione in Germania. Es. 4.10"
Cash in advance,"Pagamento anticipato"
Active,"Attivato"
Sovrapprezzo fisso,"Sovrapprezzo fisso"
"Please enter the fixed surcharge. e.g. 2.95","Si prega di inserire la maggiorazione forfettaria per le spese di spedizione. Es. 2.95"
"Surcharge in %?","Sovrapprezzo percentuale"
"Please enter the percentage surcharge. e.g. 1.69","Si prega di inserire la maggiorazione percentuale relativa alle spese di spedizione. Es. 1.69"
"Does this already include shipping?","Includere le spese di spedizione?"
"Upper price boundary for this payment method.","Limite massimo per questa modalità di pagamento."
"GBP The max. order value for which this method of payment can be used. (Example: ""500"" or ""99.99"" …)","Importo massimo in EURO consentito con questa modalità di pagamento.  (Esempio: ""500"" oppure ""99.99"" ...)"
Countries,"Paese"
"Please enter which countries you offer this payment method for.","Si prega di specificare per quali paesi è valida questa modalità di pagamento."
Cash on delivery,"Pagamento in contrassegno"
PayPal,"Paypal"
Credit card,""Carta di credito""
Invoice,"Fattura"
"Direct debit / Banker's draft","Nota di addebito / Addebito bancario"
Skrill,"Skills"
Sofort,"Pagamento immediato"
Shipping comment,"Commento alla spedizione"
100 characters max.,"Max. 100 caratteri"
Campaigns,"Campagne"
"This adds an additional parameter to the end of the product links in the export feed. Clicks and conversions can then be tracked using a tracking tool.","È possibile aggiungere un parametro addizionale ai link dei prodotti esportati. Questo parametro può essere rilevato tramite uno strumento di tracking."
Additional attributes,"Attributi addizionali"
"Additional attributes (will be added to end of product name)","Attributi addizionali (aggiunti al nome prodotto)"
